"n","est_b","est_g","est_c","ll_true","ll_est","runtime_s","example"
2500,1.99922514244556,2.00020411467826,1.9966432288261,-3225.48851975164,-3225.46622264257,5.73215413093567,"ex1"
1000,1.93454999362842,1.93463498266727,2.02149866583557,-1282.3761267128,-1281.36642237289,4.27017998695374,"ex1"
500,2.1000355778317,2.06422739296157,2.01921398594647,-643.251593885052,-640.8262999449,4.26356530189514,"ex1"
100,1.89016302744055,1.90340774359877,2.04174164998054,-127.449269929777,-127.260769405527,4.85268902778625,"ex1"
2500,1.91458645661965,2.99027637926558,4.0269055242871,-4307.08006476402,-4303.85250362909,4.79326581954956,"ex2"
1000,1.93861517809363,2.98249342442274,4.01856949310812,-1707.27625053483,-1706.56968348104,3.8830087184906,"ex2"
500,1.92411375721913,2.86687174506949,4.08386439200609,-841.078440985161,-840.498383383145,3.81700253486633,"ex2"
100,2.81005825567052,3.45249182308093,3.63052160739268,-161.222140177297,-157.957309970197,3.69281983375549,"ex2"
2500,3.03025250552764,1.98036666396431,5.00490082957574,-2410.59338922104,-2409.31703087544,5.96628570556641,"ex3"
1000,2.74403993357997,1.89842186629591,5.10150981516757,-1004.06306146394,-1002.58474707492,5.53296279907227,"ex3"
500,2.89431090360931,1.80292606801874,5.15953736280182,-454.143323665981,-449.883639940995,3.73013639450073,"ex3"
100,4.54194012617778,2.57441408390508,4.54278378881909,-91.808994147181,-88.5177757392923,4.21323943138123,"ex3"
